Target,Fold,HeldURSI,Method,BestTopN,InnerAUC,Classifier,FoldAUC,NFeats
GAD-7,1,M87114859,mi,50,0.9545,MLP,,50
GAD-7,1,M87114859,mi,50,0.9545,KNN,,50
GAD-7,1,M87114859,mi,50,0.9545,SVM,,50
GAD-7,1,M87114859,mi,50,0.9545,Linear SVM,,50
GAD-7,1,M87114859,mi,50,0.9545,Decision Tree,,50
GAD-7,1,M87114859,mi,50,0.9545,Random Forest,,50
GAD-7,1,M87114859,mi,50,0.9545,Logistic Reg.,,50
GAD-7,1,M87114859,mi,50,0.9545,Naive Bayes,,50
GAD-7,1,M87114859,mi,50,0.9545,Voting,,50
GAD-7,1,M87114859,rf,100,0.9455,MLP,,100
GAD-7,1,M87114859,rf,100,0.9455,KNN,,100
GAD-7,1,M87114859,rf,100,0.9455,SVM,,100
GAD-7,1,M87114859,rf,100,0.9455,Linear SVM,,100
GAD-7,1,M87114859,rf,100,0.9455,Decision Tree,,100
GAD-7,1,M87114859,rf,100,0.9455,Random Forest,,100
GAD-7,1,M87114859,rf,100,0.9455,Logistic Reg.,,100
GAD-7,1,M87114859,rf,100,0.9455,Naive Bayes,,100
GAD-7,1,M87114859,rf,100,0.9455,Voting,,100
GAD-7,1,M87114859,rfe,50,,MLP,,50
GAD-7,1,M87114859,rfe,50,,KNN,,50
GAD-7,1,M87114859,rfe,50,,SVM,,50
GAD-7,1,M87114859,rfe,50,,Linear SVM,,50
GAD-7,1,M87114859,rfe,50,,Decision Tree,,50
GAD-7,1,M87114859,rfe,50,,Random Forest,,50
GAD-7,1,M87114859,rfe,50,,Logistic Reg.,,50
GAD-7,1,M87114859,rfe,50,,Naive Bayes,,50
GAD-7,1,M87114859,rfe,50,,Voting,,50
GAD-7,2,M87116318,mi,100,0.9417,MLP,,100
GAD-7,2,M87116318,mi,100,0.9417,KNN,,100
GAD-7,2,M87116318,mi,100,0.9417,SVM,,100
GAD-7,2,M87116318,mi,100,0.9417,Linear SVM,,100
GAD-7,2,M87116318,mi,100,0.9417,Decision Tree,,100
GAD-7,2,M87116318,mi,100,0.9417,Random Forest,,100
GAD-7,2,M87116318,mi,100,0.9417,Logistic Reg.,,100
GAD-7,2,M87116318,mi,100,0.9417,Naive Bayes,,100
GAD-7,2,M87116318,mi,100,0.9417,Voting,,100
GAD-7,2,M87116318,rf,100,0.9083,MLP,,100
GAD-7,2,M87116318,rf,100,0.9083,KNN,,100
GAD-7,2,M87116318,rf,100,0.9083,SVM,,100
GAD-7,2,M87116318,rf,100,0.9083,Linear SVM,,100
GAD-7,2,M87116318,rf,100,0.9083,Decision Tree,,100
GAD-7,2,M87116318,rf,100,0.9083,Random Forest,,100
GAD-7,2,M87116318,rf,100,0.9083,Logistic Reg.,,100
GAD-7,2,M87116318,rf,100,0.9083,Naive Bayes,,100
GAD-7,2,M87116318,rf,100,0.9083,Voting,,100
GAD-7,2,M87116318,rfe,50,,MLP,,50
GAD-7,2,M87116318,rfe,50,,KNN,,50
GAD-7,2,M87116318,rfe,50,,SVM,,50
GAD-7,2,M87116318,rfe,50,,Linear SVM,,50
GAD-7,2,M87116318,rfe,50,,Decision Tree,,50
GAD-7,2,M87116318,rfe,50,,Random Forest,,50
GAD-7,2,M87116318,rfe,50,,Logistic Reg.,,50
GAD-7,2,M87116318,rfe,50,,Naive Bayes,,50
GAD-7,2,M87116318,rfe,50,,Voting,,50
GAD-7,3,M87119637,mi,50,0.7551,MLP,,50
GAD-7,3,M87119637,mi,50,0.7551,KNN,,50
GAD-7,3,M87119637,mi,50,0.7551,SVM,,50
GAD-7,3,M87119637,mi,50,0.7551,Linear SVM,,50
GAD-7,3,M87119637,mi,50,0.7551,Decision Tree,,50
GAD-7,3,M87119637,mi,50,0.7551,Random Forest,,50
GAD-7,3,M87119637,mi,50,0.7551,Logistic Reg.,,50
GAD-7,3,M87119637,mi,50,0.7551,Naive Bayes,,50
GAD-7,3,M87119637,mi,50,0.7551,Voting,,50
GAD-7,3,M87119637,rf,100,1.0,MLP,,100
GAD-7,3,M87119637,rf,100,1.0,KNN,,100
GAD-7,3,M87119637,rf,100,1.0,SVM,,100
GAD-7,3,M87119637,rf,100,1.0,Linear SVM,,100
GAD-7,3,M87119637,rf,100,1.0,Decision Tree,,100
GAD-7,3,M87119637,rf,100,1.0,Random Forest,,100
GAD-7,3,M87119637,rf,100,1.0,Logistic Reg.,,100
GAD-7,3,M87119637,rf,100,1.0,Naive Bayes,,100
GAD-7,3,M87119637,rf,100,1.0,Voting,,100
GAD-7,3,M87119637,rfe,50,,MLP,,50
GAD-7,3,M87119637,rfe,50,,KNN,,50
GAD-7,3,M87119637,rfe,50,,SVM,,50
GAD-7,3,M87119637,rfe,50,,Linear SVM,,50
GAD-7,3,M87119637,rfe,50,,Decision Tree,,50
GAD-7,3,M87119637,rfe,50,,Random Forest,,50
GAD-7,3,M87119637,rfe,50,,Logistic Reg.,,50
GAD-7,3,M87119637,rfe,50,,Naive Bayes,,50
GAD-7,3,M87119637,rfe,50,,Voting,,50
GAD-7,4,M87143149,mi,100,0.9636,MLP,,100
GAD-7,4,M87143149,mi,100,0.9636,KNN,,100
GAD-7,4,M87143149,mi,100,0.9636,SVM,,100
GAD-7,4,M87143149,mi,100,0.9636,Linear SVM,,100
GAD-7,4,M87143149,mi,100,0.9636,Decision Tree,,100
GAD-7,4,M87143149,mi,100,0.9636,Random Forest,,100
GAD-7,4,M87143149,mi,100,0.9636,Logistic Reg.,,100
GAD-7,4,M87143149,mi,100,0.9636,Naive Bayes,,100
GAD-7,4,M87143149,mi,100,0.9636,Voting,,100
GAD-7,4,M87143149,rf,20,0.9636,MLP,,20
GAD-7,4,M87143149,rf,20,0.9636,KNN,,20
GAD-7,4,M87143149,rf,20,0.9636,SVM,,20
GAD-7,4,M87143149,rf,20,0.9636,Linear SVM,,20
GAD-7,4,M87143149,rf,20,0.9636,Decision Tree,,20
GAD-7,4,M87143149,rf,20,0.9636,Random Forest,,20
GAD-7,4,M87143149,rf,20,0.9636,Logistic Reg.,,20
GAD-7,4,M87143149,rf,20,0.9636,Naive Bayes,,20
GAD-7,4,M87143149,rf,20,0.9636,Voting,,20
GAD-7,4,M87143149,rfe,50,,MLP,,50
GAD-7,4,M87143149,rfe,50,,KNN,,50
GAD-7,4,M87143149,rfe,50,,SVM,,50
GAD-7,4,M87143149,rfe,50,,Linear SVM,,50
GAD-7,4,M87143149,rfe,50,,Decision Tree,,50
GAD-7,4,M87143149,rfe,50,,Random Forest,,50
GAD-7,4,M87143149,rfe,50,,Logistic Reg.,,50
GAD-7,4,M87143149,rfe,50,,Naive Bayes,,50
GAD-7,4,M87143149,rfe,50,,Voting,,50
GAD-7,5,M87148622,mi,50,0.9286,MLP,,50
GAD-7,5,M87148622,mi,50,0.9286,KNN,,50
GAD-7,5,M87148622,mi,50,0.9286,SVM,,50
GAD-7,5,M87148622,mi,50,0.9286,Linear SVM,,50
GAD-7,5,M87148622,mi,50,0.9286,Decision Tree,,50
GAD-7,5,M87148622,mi,50,0.9286,Random Forest,,50
GAD-7,5,M87148622,mi,50,0.9286,Logistic Reg.,,50
GAD-7,5,M87148622,mi,50,0.9286,Naive Bayes,,50
GAD-7,5,M87148622,mi,50,0.9286,Voting,,50
GAD-7,5,M87148622,rf,20,0.949,MLP,,20
GAD-7,5,M87148622,rf,20,0.949,KNN,,20
GAD-7,5,M87148622,rf,20,0.949,SVM,,20
GAD-7,5,M87148622,rf,20,0.949,Linear SVM,,20
GAD-7,5,M87148622,rf,20,0.949,Decision Tree,,20
GAD-7,5,M87148622,rf,20,0.949,Random Forest,,20
GAD-7,5,M87148622,rf,20,0.949,Logistic Reg.,,20
GAD-7,5,M87148622,rf,20,0.949,Naive Bayes,,20
GAD-7,5,M87148622,rf,20,0.949,Voting,,20
GAD-7,5,M87148622,rfe,50,,MLP,,50
GAD-7,5,M87148622,rfe,50,,KNN,,50
GAD-7,5,M87148622,rfe,50,,SVM,,50
GAD-7,5,M87148622,rfe,50,,Linear SVM,,50
GAD-7,5,M87148622,rfe,50,,Decision Tree,,50
GAD-7,5,M87148622,rfe,50,,Random Forest,,50
GAD-7,5,M87148622,rfe,50,,Logistic Reg.,,50
GAD-7,5,M87148622,rfe,50,,Naive Bayes,,50
GAD-7,5,M87148622,rfe,50,,Voting,,50
GAD-7,6,M87149891,mi,100,0.9773,MLP,,100
GAD-7,6,M87149891,mi,100,0.9773,KNN,,100
GAD-7,6,M87149891,mi,100,0.9773,SVM,,100
GAD-7,6,M87149891,mi,100,0.9773,Linear SVM,,100
GAD-7,6,M87149891,mi,100,0.9773,Decision Tree,,100
GAD-7,6,M87149891,mi,100,0.9773,Random Forest,,100
GAD-7,6,M87149891,mi,100,0.9773,Logistic Reg.,,100
GAD-7,6,M87149891,mi,100,0.9773,Naive Bayes,,100
GAD-7,6,M87149891,mi,100,0.9773,Voting,,100
GAD-7,6,M87149891,rf,10,1.0,MLP,,10
GAD-7,6,M87149891,rf,10,1.0,KNN,,10
GAD-7,6,M87149891,rf,10,1.0,SVM,,10
GAD-7,6,M87149891,rf,10,1.0,Linear SVM,,10
GAD-7,6,M87149891,rf,10,1.0,Decision Tree,,10
GAD-7,6,M87149891,rf,10,1.0,Random Forest,,10
GAD-7,6,M87149891,rf,10,1.0,Logistic Reg.,,10
GAD-7,6,M87149891,rf,10,1.0,Naive Bayes,,10
GAD-7,6,M87149891,rf,10,1.0,Voting,,10
GAD-7,6,M87149891,rfe,50,,MLP,,50
GAD-7,6,M87149891,rfe,50,,KNN,,50
GAD-7,6,M87149891,rfe,50,,SVM,,50
GAD-7,6,M87149891,rfe,50,,Linear SVM,,50
GAD-7,6,M87149891,rfe,50,,Decision Tree,,50
GAD-7,6,M87149891,rfe,50,,Random Forest,,50
GAD-7,6,M87149891,rfe,50,,Logistic Reg.,,50
GAD-7,6,M87149891,rfe,50,,Naive Bayes,,50
GAD-7,6,M87149891,rfe,50,,Voting,,50
GAD-7,7,M87179487,mi,20,1.0,MLP,,20
GAD-7,7,M87179487,mi,20,1.0,KNN,,20
GAD-7,7,M87179487,mi,20,1.0,SVM,,20
GAD-7,7,M87179487,mi,20,1.0,Linear SVM,,20
GAD-7,7,M87179487,mi,20,1.0,Decision Tree,,20
GAD-7,7,M87179487,mi,20,1.0,Random Forest,,20
GAD-7,7,M87179487,mi,20,1.0,Logistic Reg.,,20
GAD-7,7,M87179487,mi,20,1.0,Naive Bayes,,20
GAD-7,7,M87179487,mi,20,1.0,Voting,,20
GAD-7,7,M87179487,rf,10,1.0,MLP,,10
GAD-7,7,M87179487,rf,10,1.0,KNN,,10
GAD-7,7,M87179487,rf,10,1.0,SVM,,10
GAD-7,7,M87179487,rf,10,1.0,Linear SVM,,10
GAD-7,7,M87179487,rf,10,1.0,Decision Tree,,10
GAD-7,7,M87179487,rf,10,1.0,Random Forest,,10
GAD-7,7,M87179487,rf,10,1.0,Logistic Reg.,,10
GAD-7,7,M87179487,rf,10,1.0,Naive Bayes,,10
GAD-7,7,M87179487,rf,10,1.0,Voting,,10
GAD-7,7,M87179487,rfe,50,,MLP,,50
GAD-7,7,M87179487,rfe,50,,KNN,,50
GAD-7,7,M87179487,rfe,50,,SVM,,50
GAD-7,7,M87179487,rfe,50,,Linear SVM,,50
GAD-7,7,M87179487,rfe,50,,Decision Tree,,50
GAD-7,7,M87179487,rfe,50,,Random Forest,,50
GAD-7,7,M87179487,rfe,50,,Logistic Reg.,,50
GAD-7,7,M87179487,rfe,50,,Naive Bayes,,50
GAD-7,7,M87179487,rfe,50,,Voting,,50
GAD-7,8,M87182369,mi,10,1.0,MLP,1.0,10
GAD-7,8,M87182369,mi,10,1.0,KNN,0.5,10
GAD-7,8,M87182369,mi,10,1.0,SVM,0.5,10
GAD-7,8,M87182369,mi,10,1.0,Linear SVM,1.0,10
GAD-7,8,M87182369,mi,10,1.0,Decision Tree,0.5,10
GAD-7,8,M87182369,mi,10,1.0,Random Forest,1.0,10
GAD-7,8,M87182369,mi,10,1.0,Logistic Reg.,1.0,10
GAD-7,8,M87182369,mi,10,1.0,Naive Bayes,0.5,10
GAD-7,8,M87182369,mi,10,1.0,Voting,1.0,10
GAD-7,8,M87182369,rf,10,1.0,MLP,0.5,10
GAD-7,8,M87182369,rf,10,1.0,KNN,0.25,10
GAD-7,8,M87182369,rf,10,1.0,SVM,0.0,10
GAD-7,8,M87182369,rf,10,1.0,Linear SVM,0.5,10
GAD-7,8,M87182369,rf,10,1.0,Decision Tree,0.5,10
GAD-7,8,M87182369,rf,10,1.0,Random Forest,0.5,10
GAD-7,8,M87182369,rf,10,1.0,Logistic Reg.,0.5,10
GAD-7,8,M87182369,rf,10,1.0,Naive Bayes,0.5,10
GAD-7,8,M87182369,rf,10,1.0,Voting,0.5,10
GAD-7,8,M87182369,rfe,50,,MLP,0.0,50
GAD-7,8,M87182369,rfe,50,,KNN,0.5,50
GAD-7,8,M87182369,rfe,50,,SVM,1.0,50
GAD-7,8,M87182369,rfe,50,,Linear SVM,1.0,50
GAD-7,8,M87182369,rfe,50,,Decision Tree,0.5,50
GAD-7,8,M87182369,rfe,50,,Random Forest,1.0,50
GAD-7,8,M87182369,rfe,50,,Logistic Reg.,1.0,50
GAD-7,8,M87182369,rfe,50,,Naive Bayes,0.5,50
GAD-7,8,M87182369,rfe,50,,Voting,1.0,50
GAD-7,9,M87189027,mi,10,0.9538,MLP,,10
GAD-7,9,M87189027,mi,10,0.9538,KNN,,10
GAD-7,9,M87189027,mi,10,0.9538,SVM,,10
GAD-7,9,M87189027,mi,10,0.9538,Linear SVM,,10
GAD-7,9,M87189027,mi,10,0.9538,Decision Tree,,10
GAD-7,9,M87189027,mi,10,0.9538,Random Forest,,10
GAD-7,9,M87189027,mi,10,0.9538,Logistic Reg.,,10
GAD-7,9,M87189027,mi,10,0.9538,Naive Bayes,,10
GAD-7,9,M87189027,mi,10,0.9538,Voting,,10
GAD-7,9,M87189027,rf,50,0.9538,MLP,,50
GAD-7,9,M87189027,rf,50,0.9538,KNN,,50
GAD-7,9,M87189027,rf,50,0.9538,SVM,,50
GAD-7,9,M87189027,rf,50,0.9538,Linear SVM,,50
GAD-7,9,M87189027,rf,50,0.9538,Decision Tree,,50
GAD-7,9,M87189027,rf,50,0.9538,Random Forest,,50
GAD-7,9,M87189027,rf,50,0.9538,Logistic Reg.,,50
GAD-7,9,M87189027,rf,50,0.9538,Naive Bayes,,50
GAD-7,9,M87189027,rf,50,0.9538,Voting,,50
GAD-7,9,M87189027,rfe,50,,MLP,,50
GAD-7,9,M87189027,rfe,50,,KNN,,50
GAD-7,9,M87189027,rfe,50,,SVM,,50
GAD-7,9,M87189027,rfe,50,,Linear SVM,,50
GAD-7,9,M87189027,rfe,50,,Decision Tree,,50
GAD-7,9,M87189027,rfe,50,,Random Forest,,50
GAD-7,9,M87189027,rfe,50,,Logistic Reg.,,50
GAD-7,9,M87189027,rfe,50,,Naive Bayes,,50
GAD-7,9,M87189027,rfe,50,,Voting,,50
Age,1,M87114859,mi,50,0.6,MLP,,50
Age,1,M87114859,mi,50,0.6,KNN,,50
Age,1,M87114859,mi,50,0.6,SVM,,50
Age,1,M87114859,mi,50,0.6,Linear SVM,,50
Age,1,M87114859,mi,50,0.6,Decision Tree,,50
Age,1,M87114859,mi,50,0.6,Random Forest,,50
Age,1,M87114859,mi,50,0.6,Logistic Reg.,,50
Age,1,M87114859,mi,50,0.6,Naive Bayes,,50
Age,1,M87114859,mi,50,0.6,Voting,,50
Age,1,M87114859,rf,20,0.6,MLP,,20
Age,1,M87114859,rf,20,0.6,KNN,,20
Age,1,M87114859,rf,20,0.6,SVM,,20
Age,1,M87114859,rf,20,0.6,Linear SVM,,20
Age,1,M87114859,rf,20,0.6,Decision Tree,,20
Age,1,M87114859,rf,20,0.6,Random Forest,,20
Age,1,M87114859,rf,20,0.6,Logistic Reg.,,20
Age,1,M87114859,rf,20,0.6,Naive Bayes,,20
Age,1,M87114859,rf,20,0.6,Voting,,20
Age,1,M87114859,rfe,50,,MLP,,50
Age,1,M87114859,rfe,50,,KNN,,50
Age,1,M87114859,rfe,50,,SVM,,50
Age,1,M87114859,rfe,50,,Linear SVM,,50
Age,1,M87114859,rfe,50,,Decision Tree,,50
Age,1,M87114859,rfe,50,,Random Forest,,50
Age,1,M87114859,rfe,50,,Logistic Reg.,,50
Age,1,M87114859,rfe,50,,Naive Bayes,,50
Age,1,M87114859,rfe,50,,Voting,,50
Age,2,M87116318,mi,10,0.0,MLP,,10
Age,2,M87116318,mi,10,0.0,KNN,,10
Age,2,M87116318,mi,10,0.0,SVM,,10
Age,2,M87116318,mi,10,0.0,Linear SVM,,10
Age,2,M87116318,mi,10,0.0,Decision Tree,,10
Age,2,M87116318,mi,10,0.0,Random Forest,,10
Age,2,M87116318,mi,10,0.0,Logistic Reg.,,10
Age,2,M87116318,mi,10,0.0,Naive Bayes,,10
Age,2,M87116318,mi,10,0.0,Voting,,10
Age,2,M87116318,rf,10,0.0,MLP,,10
Age,2,M87116318,rf,10,0.0,KNN,,10
Age,2,M87116318,rf,10,0.0,SVM,,10
Age,2,M87116318,rf,10,0.0,Linear SVM,,10
Age,2,M87116318,rf,10,0.0,Decision Tree,,10
Age,2,M87116318,rf,10,0.0,Random Forest,,10
Age,2,M87116318,rf,10,0.0,Logistic Reg.,,10
Age,2,M87116318,rf,10,0.0,Naive Bayes,,10
Age,2,M87116318,rf,10,0.0,Voting,,10
Age,2,M87116318,rfe,50,,MLP,,50
Age,2,M87116318,rfe,50,,KNN,,50
Age,2,M87116318,rfe,50,,SVM,,50
Age,2,M87116318,rfe,50,,Linear SVM,,50
Age,2,M87116318,rfe,50,,Decision Tree,,50
Age,2,M87116318,rfe,50,,Random Forest,,50
Age,2,M87116318,rfe,50,,Logistic Reg.,,50
Age,2,M87116318,rfe,50,,Naive Bayes,,50
Age,2,M87116318,rfe,50,,Voting,,50
Age,3,M87119637,mi,20,0.7917,MLP,,20
Age,3,M87119637,mi,20,0.7917,KNN,,20
Age,3,M87119637,mi,20,0.7917,SVM,,20
Age,3,M87119637,mi,20,0.7917,Linear SVM,,20
Age,3,M87119637,mi,20,0.7917,Decision Tree,,20
Age,3,M87119637,mi,20,0.7917,Random Forest,,20
Age,3,M87119637,mi,20,0.7917,Logistic Reg.,,20
Age,3,M87119637,mi,20,0.7917,Naive Bayes,,20
Age,3,M87119637,mi,20,0.7917,Voting,,20
Age,3,M87119637,rf,20,0.75,MLP,,20
Age,3,M87119637,rf,20,0.75,KNN,,20
Age,3,M87119637,rf,20,0.75,SVM,,20
Age,3,M87119637,rf,20,0.75,Linear SVM,,20
Age,3,M87119637,rf,20,0.75,Decision Tree,,20
