Target,Condition,Mean_Inner_AUC,SD_Inner_AUC,N_valid_folds,N_total_folds,N_stable_feats
GAD-7,LOPO_Unstable,0.9736,0.0242,9,9,0
GAD-7,LOPO_Stable,0.999,0.0029,9,9,9
GAD-7,TwoPerson_Unstable,0.9398,0.1354,36,36,0
GAD-7,TwoPerson_Stable,0.9583,0.1382,36,36,5
GAD-7,PersonVec_Unstable,0.8333,0.2357,9,9,0
GAD-7,PersonVec_Stable,0.8333,0.2357,9,9,1
GAD-7,Annot_Unstable,0.9715,0.0224,9,9,0
GAD-7,Annot_Stable,0.988,0.0143,9,9,36
Sex,LOPO_Unstable,0.5856,0.1849,9,9,0
Sex,LOPO_Stable,,,0,9,0
Sex,TwoPerson_Unstable,0.646,0.2282,36,36,0
Sex,TwoPerson_Stable,,,0,36,0
Sex,PersonVec_Unstable,0.7185,0.2264,9,9,0
Sex,PersonVec_Stable,1.0,0.0,9,9,3
Sex,Annot_Unstable,0.627,0.1541,9,9,0
Sex,Annot_Stable,0.668,0.1001,9,9,3
Age,LOPO_Unstable,0.6414,0.2682,9,9,0
Age,LOPO_Stable,0.6226,0.233,9,9,6
Age,TwoPerson_Unstable,0.7314,0.2128,36,36,0
Age,TwoPerson_Stable,0.8197,0.1678,36,36,1
Age,PersonVec_Unstable,0.7816,0.3188,9,9,0
Age,PersonVec_Stable,0.9753,0.0698,9,9,2
Age,Annot_Unstable,0.6495,0.197,9,9,0
Age,Annot_Stable,0.7238,0.2665,9,9,5
IDS-C,LOPO_Unstable,0.5166,0.1036,9,9,0
IDS-C,LOPO_Stable,,,0,9,0
IDS-C,TwoPerson_Unstable,0.5739,0.1466,36,36,0
IDS-C,TwoPerson_Stable,0.7143,0.1747,36,36,1
IDS-C,PersonVec_Unstable,0.5957,0.086,9,9,0
IDS-C,PersonVec_Stable,0.7247,0.1469,9,9,1
IDS-C,Annot_Unstable,0.5175,0.1116,9,9,0
IDS-C,Annot_Stable,0.6884,0.1297,9,9,1
SHAPSC,LOPO_Unstable,0.4842,0.0745,9,9,0
SHAPSC,LOPO_Stable,0.5428,0.2159,9,9,1
SHAPSC,TwoPerson_Unstable,0.5857,0.1793,36,36,0
SHAPSC,TwoPerson_Stable,,,0,36,0
SHAPSC,PersonVec_Unstable,0.8418,0.1802,9,9,0
SHAPSC,PersonVec_Stable,1.0,0.0,9,9,6
SHAPSC,Annot_Unstable,0.5042,0.0799,9,9,0
SHAPSC,Annot_Stable,0.6704,0.1414,9,9,2
TEPS,LOPO_Unstable,0.7393,0.2301,9,9,0
TEPS,LOPO_Stable,0.9813,0.0303,9,9,3
TEPS,TwoPerson_Unstable,0.7453,0.1902,36,36,0
TEPS,TwoPerson_Stable,0.9473,0.1407,36,36,1
TEPS,PersonVec_Unstable,0.8565,0.1907,9,9,0
TEPS,PersonVec_Stable,1.0,0.0,9,9,4
TEPS,Annot_Unstable,0.7011,0.2038,9,9,0
TEPS,Annot_Stable,0.864,0.2519,9,9,9
YMRS,LOPO_Unstable,0.5082,0.0539,9,9,0
YMRS,LOPO_Stable,,,0,9,0
YMRS,TwoPerson_Unstable,0.5096,0.0409,35,36,0
YMRS,TwoPerson_Stable,,,0,36,0
YMRS,PersonVec_Unstable,0.5,0.0,8,9,0
YMRS,PersonVec_Stable,0.5,0.0,8,9,3
YMRS,Annot_Unstable,0.4959,0.1415,9,9,0
YMRS,Annot_Stable,0.751,0.2246,9,9,2
