Target,Method,Rank,Feature,Gene,Folds_selected,N_folds,Selection_freq
TEPS,mi,1,Age,N/A,9,9,1.0
TEPS,mi,2,chr1_44002313_44002985_+,not_annotated,7,9,0.778
TEPS,mi,3,chr10_13659323_13663509_-,FRMD4A,7,9,0.778
TEPS,mi,4,chr17_20204333_20205912_-,not_annotated,6,9,0.667
TEPS,mi,5,chr2_201344170_201351451_+,not_annotated,6,9,0.667
TEPS,mi,6,chr9_98018289_98026451_+,not_annotated,5,9,0.556
TEPS,mi,7,chr5_180549931_180553471_-,not_annotated,5,9,0.556
TEPS,mi,8,chr1_158654811_158654951_-,SPTA1,4,9,0.444
TEPS,mi,9,chr8_21974670_21980203_-,not_annotated,4,9,0.444
TEPS,mi,10,chr7_135395634_135398226_+,not_annotated,3,9,0.333
TEPS,mi,11,chr5_36953618_36976402_-,not_annotated,3,9,0.333
TEPS,mi,12,chr2_58221942_58232112_+,not_annotated,3,9,0.333
TEPS,mi,13,chr1_95143891_95173889_-,AC092802.2,3,9,0.333
TEPS,mi,14,chrX_135545423_135552146_-,not_annotated,3,9,0.333
TEPS,mi,15,chr16_85633914_85634132_-,not_annotated,3,9,0.333
TEPS,mi,16,chr7_102227367_102227669_-,not_annotated,3,9,0.333
TEPS,mi,17,chr18_70047971_70065922_-,RTTN,3,9,0.333
TEPS,mi,18,chr17_2394043_2395454_+,not_annotated,3,9,0.333
TEPS,mi,19,chr1_243545510_243843282_+,AL591721.1,3,9,0.333
TEPS,mi,20,chr2_40428473_40430304_+,not_annotated,3,9,0.333
TEPS,mi,21,chr17_38361711_38368050_-,not_annotated,3,9,0.333
