Target,Method,Rank,Feature,Gene,Folds_selected,N_folds,Selection_freq
GAD-7,mi,1,chr16_85633914_85634132_-,not_annotated,8,9,0.889
GAD-7,mi,2,chr16_85633914_85634132_+,GSE1,8,9,0.889
GAD-7,mi,3,chr21_36247517_36248568_+,DOP1B,8,9,0.889
GAD-7,mi,4,chr8_140585119_140605914_-,AGO2,8,9,0.889
GAD-7,mi,5,chr8_21974670_21980203_-,not_annotated,8,9,0.889
GAD-7,mi,6,chr2_201344170_201351451_+,not_annotated,8,9,0.889
GAD-7,mi,7,chr12_829062_829944_+,WNK1,8,9,0.889
GAD-7,mi,8,chr11_16095996_16097688_-,SOX6,7,9,0.778
GAD-7,mi,9,chr1_95143891_95151419_-,not_annotated,7,9,0.778
GAD-7,mi,10,chr1_45640210_45642499_+,not_annotated,7,9,0.778
GAD-7,mi,11,chr7_102227367_102227669_+,CUX1,7,9,0.778
GAD-7,mi,12,chr16_11020193_11126146_-,AC007014.1,7,9,0.778
GAD-7,mi,13,chr2_61482380_61490776_-,XPO1,6,9,0.667
GAD-7,mi,14,chr7_102227367_102227669_-,not_annotated,6,9,0.667
GAD-7,mi,15,chr3_196058284_196060247_-,TFRC,6,9,0.667
GAD-7,mi,16,chr5_73058433_73077493_+,FCHO2,6,9,0.667
GAD-7,mi,17,chr10_13659323_13663509_-,FRMD4A,6,9,0.667
GAD-7,mi,18,chr17_67945409_67975958_-,AC134407.1,6,9,0.667
GAD-7,mi,19,chr9_98018289_98026451_+,not_annotated,6,9,0.667
GAD-7,mi,20,chr1_95143891_95173889_-,AC092802.2,5,9,0.556
GAD-7,mi,21,chr4_109462901_109463644_+,SEC24B,5,9,0.556
GAD-7,mi,22,chr17_39419717_39423821_-,MED1,5,9,0.556
GAD-7,mi,23,chr1_45640210_45642499_-,GPBP1L1,5,9,0.556
GAD-7,mi,24,chr16_1809238_1809833_+,not_annotated,5,9,0.556
GAD-7,mi,25,chr16_1809238_1809833_-,HAGH,5,9,0.556
GAD-7,mi,26,chr2_8943187_8958642_-,MBOAT2,5,9,0.556
GAD-7,mi,27,chr20_43702490_43705358_-,not_annotated,5,9,0.556
GAD-7,mi,28,chr11_16095996_16097688_+,not_annotated,5,9,0.556
GAD-7,mi,29,chr4_153626147_153632838_-,not_annotated,5,9,0.556
GAD-7,mi,30,chr17_20204333_20205912_-,not_annotated,5,9,0.556
GAD-7,mi,31,chr3_119500695_119504021_-,not_annotated,5,9,0.556
GAD-7,mi,32,chrX_78014662_78020398_-,not_annotated,5,9,0.556
GAD-7,mi,33,chr2_8908621_8958642_+,not_annotated,4,9,0.444
GAD-7,mi,34,chr15_65729072_65756472_-,DENND4A,4,9,0.444
GAD-7,mi,35,chr1_28473554_28480604_-,not_annotated,4,9,0.444
GAD-7,mi,36,chr20_47262288_47283648_+,not_annotated,4,9,0.444
GAD-7,mi,37,chr2_201344170_201351451_-,FLACC1,4,9,0.444
GAD-7,mi,38,chr8_21974670_21980203_+,XPO7,4,9,0.444
GAD-7,mi,39,chr3_172247533_172251541_+,FNDC3B,4,9,0.444
GAD-7,mi,40,chr3_172247533_172251541_-,not_annotated,4,9,0.444
GAD-7,mi,41,chr2_8943187_8958642_+,not_annotated,3,9,0.333
GAD-7,mi,42,chr4_177353308_177360677_+,NEIL3,3,9,0.333
GAD-7,mi,43,chr2_8908621_8958642_-,MBOAT2,3,9,0.333
GAD-7,mi,44,chr3_47425485_47428670_+,not_annotated,3,9,0.333
GAD-7,mi,45,chr9_136223763_136226874_-,QSOX2,3,9,0.333
GAD-7,mi,46,chr8_130214556_130358143_-,ASAP1,3,9,0.333
GAD-7,mi,47,chr20_43702490_43705358_+,MYBL2,3,9,0.333
GAD-7,mi,48,chr8_140585119_140605914_+,AC067931.2,3,9,0.333
GAD-7,mi,49,chr1_65364635_65366196_+,DNAJC6,3,9,0.333
GAD-7,mi,50,chr19_3660966_3662001_-,PIP5K1C,3,9,0.333
GAD-7,mi,51,chr12_829062_829944_-,not_annotated,3,9,0.333
GAD-7,mi,52,chr5_79640851_79669028_+,TENT2,3,9,0.333
GAD-7,mi,53,chr3_170145423_170149244_+,not_annotated,3,9,0.333
GAD-7,mi,54,chr11_16111803_16186955_+,not_annotated,3,9,0.333
GAD-7,mi,55,chr19_1430222_1432690_-,not_annotated,3,9,0.333
GAD-7,mi,56,chr11_16183886_16234671_+,not_annotated,3,9,0.333
GAD-7,mi,57,chr8_123380529_123380677_+,not_annotated,3,9,0.333
GAD-7,mi,58,chrX_150793691_150816078_-,CD99L2,3,9,0.333
GAD-7,mi,59,chr3_170136419_170149244_+,not_annotated,3,9,0.333
GAD-7,mi,60,chr4_109491327_109494856_+,SEC24B,3,9,0.333
GAD-7,mi,61,chr6_158573420_158589782_+,TMEM181,3,9,0.333
GAD-7,mi,62,chr19_3660966_3662001_+,not_annotated,3,9,0.333
GAD-7,mi,63,chr4_37631385_37638504_-,RELL1,3,9,0.333
GAD-7,mi,64,chr6_158573420_158589782_-,not_annotated,3,9,0.333
GAD-7,mi,65,chr8_38114192_38119363_-,not_annotated,3,9,0.333
