Target,Method,Rank,Feature,Gene,Folds_selected,N_folds,Selection_freq
Age,mi,1,chr1_44002313_44002985_+,not_annotated,7,9,0.778
Age,mi,2,chr2_201344170_201351451_+,not_annotated,7,9,0.778
Age,mi,3,chr10_13659323_13663509_-,FRMD4A,6,9,0.667
Age,mi,4,chr17_20204333_20205912_-,not_annotated,6,9,0.667
Age,mi,5,chrX_135545423_135552146_-,not_annotated,5,9,0.556
Age,mi,6,chr9_98018289_98026451_+,not_annotated,5,9,0.556
Age,mi,7,chr16_85633914_85634132_-,not_annotated,5,9,0.556
Age,mi,8,chr16_85633914_85634132_+,GSE1,5,9,0.556
Age,mi,9,chr8_21974670_21980203_-,not_annotated,5,9,0.556
Age,mi,10,chr2_226864604_226867318_-,not_annotated,5,9,0.556
Age,mi,11,chr7_102227367_102227669_-,not_annotated,5,9,0.556
Age,mi,12,chr5_180549931_180553471_-,not_annotated,4,9,0.444
Age,mi,13,chr8_140585119_140605914_-,AGO2,4,9,0.444
Age,mi,14,chr2_58221942_58232112_+,not_annotated,3,9,0.333
Age,mi,15,chr1_158654811_158654951_-,SPTA1,3,9,0.333
Age,mi,16,chr12_82857010_82857580_-,not_annotated,3,9,0.333
Age,mi,17,chr7_135395634_135398226_+,not_annotated,3,9,0.333
Age,mi,18,chr2_201344170_201351451_-,FLACC1,3,9,0.333
Age,mi,19,chr8_21974670_21980203_+,XPO7,3,9,0.333
Age,mi,20,chr1_243545510_243843282_+,AL591721.1,3,9,0.333
Age,mi,21,chrX_17103718_17138961_+,REPS2,3,9,0.333
Age,mi,22,chr2_40428473_40430304_+,not_annotated,3,9,0.333
Age,mi,23,chrX_135545423_135556300_+,INTS6L,3,9,0.333
